"en","sw"
"Hello","Habari"
"Get started","Tuanze!"
"Please be mindfull handling sensitive data","Tafadhali kuwa mwangalifu kushughulikia data nyeti"
"Quick overview","Muhtasari wa haraka"
"Select variables for final import","Chagua vigezo vya kuingiza mwisho"
"Exclude incomplete variables:","Ondoa vigezo visivyokamilika:"
"Manual selection:","Uchaguzi wa mikono:"
"Let's begin!","Tuanze!"
"Analysis validation","Uthibitisho wa uchambuzi"
"Report","Ripoti"
"Choose your favourite output file format for further work, and download, when the analyses are done.","Chagua umbizo la faili ya matokeo unayopenda kwa kazi zaidi, na upakue, uchambuzi utakapokamilika."
"www/intro.html","www/utangulizi.html"
"<p>The <em><strong>FreesearchR</strong></em> app only stores data for analyses, but please only use with sensitive data when running locally. <a href='https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine'>Read more here</a></p>","<p>Programu ya <em><strong>FreesearchR</strong></em> huhifadhi data kwa ajili ya uchambuzi pekee, lakini tafadhali tumia tu na data nyeti unapoendesha ndani. <a href='https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine'>Soma zaidi hapa</a></p>"
"Overview and filter","Muhtasari na kichujio"
"Overview and filtering","Muhtasari na uchujaji"
"Visual overview","Muhtasari wa kuona"
"Filter data types","Chuja aina za data"
"Filter observations","Uchunguzi wa vichujio"
"Apply filter on observation","Tumia kichujio wakati wa uchunguzi"
"Edit and create data","Hariri na uunde data"
"Subset, rename and convert variables","Weka sehemu ndogo, badilisha jina na ubadilishe vigezo"
"Advanced data manipulation","Udhibiti wa data wa hali ya juu"
"Below options allow more advanced varaible manipulations.","Chaguzi zilizo hapa chini huruhusu udanganyifu wa hali ya juu zaidi unaoweza kubadilika."
"New factor","Kipengele kipya"
"New variable","Kigezo kipya"
"Compare modified data to original","Linganisha data iliyobadilishwa na ya asili"
"Original data:","Data asilia:"
"Modified data:","Data iliyorekebishwa:"
"New column name:","Jina jipya la safu wima:"
"Group calculation by:","Hesabu ya kikundi kwa:"
"Enter an expression to define new column:","Ingiza usemi ili kufafanua safu wima mpya:"
"Click on a column name to add it to the expression:","Bofya jina la safu wima ili kuliongeza kwenye usemi:"
"Create column","Unda safu wima"
"New column name cannot be empty","Jina jipya la safu wima haliwezi kuwa tupu"
"Create a new column","Unda safu wima mpya"
"Some operations are not allowed","Baadhi ya shughuli haziruhusiwi"
"Column added!","Safu wima imeongezwa!"
"Unique values:","Thamani za kipekee:"
"Variable to cut:","Inaweza kubadilishwa kwa kukata:"
"Close intervals on the right","Funga vipindi upande wa kulia"
"Include lowest value","Jumuisha thamani ya chini kabisa"
"Create factor variable","Unda kigezo cha vipengele"
"Fixed breaks:","Mapumziko yasiyobadilika:"
"Method:","Mbinu:"
"Convert Numeric to Factor","Badilisha Nambari kuwa Kipengele"
"Unique:","Kipekee:"
"Missing:","Haipo:"
"Most Common:","Ya Kawaida Zaidi:"
"Min:","Kiwango cha chini:"
"Mean:","Wastani:"
"Max:","Kiwango cha juu zaidi:"
"Decimal separator:","Kitenganishi cha desimali:"
"First five rows are shown below:","Safu tano za kwanza zinaonyeshwa hapa chini:"
"Imported data","Data iliyoingizwa"
"www/intro.md","www/intro.md"
"Choose your data","Chagua data yako"
"Sort by levels","Panga kwa viwango"
"Sort by count","Panga kwa hesabu"
"Update factor variable","Sasisha kigezo cha kipengele"
"Levels","Viwango"
"Count","Hesabu"
"Update levels of a factor","Sasisha viwango vya kipengele"
"Update & select variables","Sasisha na uchague vigezo"
"Date format:","Muundo wa tarehe:"
"Date to use as origin to convert date/datetime:","Tarehe ya kutumia kama asili ya kubadilisha tarehe/tarehe:"
"Apply changes","Tumia mabadiliko"
"No data to display.","Hakuna data ya kuonyesha."
"Data successfully updated!","Data imesasishwa kwa mafanikio!"
"You removed {p_out} % of observations.","Umeondoa {p_out} % ya uchunguzi."
"You removed {p_out} % of variables.","Umeondoa {p_out} % ya vigezo."
"You can import {file_extensions_text} files","Unaweza kuingiza faili za {file_extensions_text}"
"You can choose between these file types:","Unaweza kuchagua kati ya aina hizi za faili:"
"Rows to skip before reading data:","Safu za kuruka kabla ya kusoma data:"
"Missing values character(s):","Herufi za thamani zinazokosekana:"
"if several use a comma (',') to separate them","ikiwa kadhaa hutumia koma (',') kuwatenganisha"
"Encoding:","Usimbaji:"
"Upload a file:","Pakia faili:"
"Browse...","Vinjari..."
"Select sheet to import:","Chagua laha ya kuingiza:"
"No file selected.","Hakuna faili iliyochaguliwa."
"Evaluate","Tathmini"
"Visuals","Picha"
"Regression","Urejeshaji"
"Download","Pakua"
"Prepare","Tayarisha"
"The following variable pairs are highly correlated: {sentence_paste(.x,and_str)}.\nConsider excluding one {more}from the dataset to ensure variables are independent.","Jozi zifuatazo za vigeu zina uhusiano wa hali ya juu: {sentence_paste(.x,and_str)}.\nFikiria kutenga moja {zaidi} kutoka kwenye seti ya data ili kuhakikisha vigeu vinajitegemea."
"No variables have a correlation measure above the threshold.","Hakuna vigezo vyenye kipimo cha uhusiano kilicho juu ya kizingiti."
"and","na"
"from each pair","kutoka kwa kila jozi"
"Plot","Kipande cha habari"
"Adjust settings, then press ""Plot"".","Rekebisha mipangilio, kisha bonyeza ""Plot""."
"Plot height (mm)","Urefu wa kiwanja (mm)"
"Plot width (mm)","Upana wa kiwanja (mm)"
"File format","Umbizo la faili"
"Download plot","Pakua njama"
"Select variable","Chagua kigezo"
"Response variable","Kigezo cha majibu"
"Plot type","Aina ya kiwanja"
"Please select","Tafadhali chagua"
"Additional variables","Vigezo vya ziada"
"Secondary variable","Kigezo cha pili"
"No variable","Hakuna kigezo"
"Grouping variable","Kigezo cha kuweka katika makundi"
"No stratification","Hakuna matabaka"
"Drawing the plot. Hold tight for a moment..","Kuchora njama. Shikilia kwa muda.."
"#Plotting\n","#Upangaji\n"
"Stacked horizontal bars","Pau za mlalo zilizopangwa kwa mpangilio"
"Violin plot","Hadithi ya violin"
"Sankey plot","Njama ya Sankey"
"A way of visualising change between groups","Njia ya kuibua mabadiliko kati ya vikundi"
"Scatter plot","Njama ya kutawanya"
"A classic way of showing the association between to variables","Njia ya kawaida ya kuonyesha uhusiano kati ya vigezo"
"Box plot","Kipande cha sanduku"
"A classic way to plot data distribution by groups","Njia ya kawaida ya kupanga usambazaji wa data kwa vikundi"
"Euler diagram","Mchoro wa Euler"
"Documentation","Nyaraka"
"Data is only stored for analyses and deleted when the app is closed.","Data huhifadhiwa kwa ajili ya uchambuzi na kufutwa tu wakati programu imefungwa."
"Feedback","Maoni"
"License: AGPLv3","Leseni: AGPLv3"
"Source","Chanzo"
"Data includes {n_pairs} pairs of highly correlated variables.","Data inajumuisha jozi {n_pairs} za vigeu vinavyohusiana sana."
"Create plot","Unda njama"
"Coefficients plot","Mchoro wa viambato"
"Checks","Hundi"
"Browse observations","Vinjari uchunguzi"
"The following error occured on determining correlations:","Hitilafu ifuatayo ilitokea katika kubaini uhusiano:"
"No missing observations","Hakuna uchunguzi unaokosekana"
"There is a total of {p_miss} % missing observations.","Kuna jumla ya uchunguzi wa {p_miss}% unaokosekana."
"Median:","Wastani:"
"Restore original data","Rejesha data asili"
"Characteristics","Sifa"
"Compare strata?","Linganisha tabaka?"
"Correlations","Uhusiano"
"Correlation cut-off","Kikomo cha uhusiano"
"Missings","Hazipo"
"Class","Darasa"
"Observations","Uchunguzi"
"Cancel","Ghairi"
"Specify covariables","Bainisha vigeu vinavyoweza kuunganishwa"
"If none are selected, all are included.","Ikiwa hakuna aliyechaguliwa, wote wamejumuishwa."
"Analyse","Changanua"
"Working...","Inafanya kazi..."
"Press 'Analyse' to create the regression model and after changing parameters.","Bonyeza 'Changanua' ili kuunda modeli ya urejeshaji na baada ya kubadilisha vigezo."
"Show p-value","Onyesha thamani ya p"
"Model checks","Ukaguzi wa modeli"
"Import data from REDCap","Ingiza data kutoka REDCap"
"REDCap server","Seva ya REDCap"
"Web address","Anwani ya wavuti"
"API token","Tokeni ya API"
"Connect","Unganisha"
"Data import parameters","Vigezo vya kuingiza data"
"Import","Ingiza"
"Click to see data dictionary","Bofya ili kuona kamusi ya data"
"Connected to server!","Imeunganishwa na seva!"
"Data dictionary","Kamusi ya data"
"Preview:","Hakikisho:"
"Imported data set","Seti ya data iliyoingizwa"
"Select fields/variables to import:","Chagua sehemu/vigezo vya kuingiza:"
